@relation clima

@attribute temperatura NUMERIC
@attribute humedad NUMERIC

@data
20.1,97.7
19.8,97.7
19.6,98.1
19.3,98.3
19.2,98.4
18.9,98.7
18.7,98.5
18.4,98.1 
18.2,98.1 
18.0,98.0
18.4,96.8 
19.5,94.1
20.8,89.3 
22.1,75.7 
23.4,60.1 
24.4,57.2
25.2,57.0
25.6,63.7
25.6,87.0
25.3,90.9 
24.4,96.4
22.9,97.5
21.7,98.2
20.7,97.8
20.1,97.7
19.7,98.2
19.3,98.7
19.1,98.9
18.9,99.2
18.7,99.2
18.6,98.8
18.4,98.5
18.2,98.1
18.0,98.1
18.3,96.7
19.1,92.4
20.5,79.8
21.1,66.4
21.8,58.7
22.6,54.4
22.7,53.3
22.4,55.8
22.3,70.8
21.9,93.0
21.3,96.5
20.4,97.6
19.6,98.2
19.1,98.4
18.9,98.7
18.6,98.6
18.4,98.7
18.2,98.8
18.0,98.8
18.0,98.7
17.9,98.6
17.8,98.3
17.7,98.3
17.6,98.3
18.5,97.0
19.4,93.1
20.3,82.3
21.3,66.2
22.3,59.7
23.3,55.5
24.1,53.7
24.7,56.3
24.5,81.6
24.3,94.3
23.5,96.3
22.0,97.1
20.8,97.6 
15.2,98.3 
14.9,98.0 
14.8,97.9 
14.8,97.9
14.7,97.9
14.7,98.1
15.1,97.9
15.0,97.6
15.0,97.4
14.9,97.3
14.8,96.9
15.5,95.8
